contractor,month,row,level,block,waste,CF2,CF3,cr-cf2,cr-cf3,cr-oxid,cr-sum,CF3-LP,OXID,ton,sum
700,6,16,1150,E14837-1150,628,442,290,231,315,0,546,0,0,196990,1906
700,6,17,1270,E14867-1270M,44,479,64,38,53,0,91,0,0,70970,678
700,6,18,1150,E14872-1150T,8,70,331,84,404,0,488,0,0,94145,897
700,6,19,1495,E14883-1495M,339,0,0,0,0,0,0,0,0,33900,339
700,6,20,1270,E14915-1270T,456,0,0,0,0,0,0,0,0,45600,456
700,6,21,1495,E14886-1495M,260,0,0,0,0,0,0,0,0,26000,260
700,6,22,1135,E14916-1135M,283,1,0,0,19,0,19,0,0,30400,303
700,6,23,1495,E14914-1495,430,0,0,0,0,0,0,0,0,43000,430
700,6,24,1270,E14919-1270T,445,0,0,0,0,0,0,0,0,44500,445
700,6,25,1135,E14923-1135,117,19,0,69,0,0,69,0,0,20940,205
700,6,26,1270,E14875-1270M,114,0,0,0,0,0,0,0,0,11400,114
700,6,27,1495,E14920-1495,657,0,0,0,0,0,0,0,0,65700,657
700,6,28,1135,EL814-1135,19,14,71,11,37,0,48,0,0,15865,152
700,6,29,1270,E14861-1270T,128,90,21,2,2,0,4,0,0,24875,243
700,6,30,1135,E14929-1135,2,54,58,20,98,0,118,0,0,24350,232
700,6,31,1495,Other-1495,67,0,0,0,0,0,0,0,0,6700,67
700,6,32,1495,EL815-1495,487,0,0,0,0,0,0,0,0,48700,487
700,6,33,1255,E14903-1255,389,43,0,19,0,0,19,0,0,45410,451
700,6,34,1495,EL816-1495,9,0,0,0,0,0,0,0,0,900,9
700,6,35,1225,E14853-1225A,32,0,0,2,3,0,5,0,0,3725,37
700,6,36,1135,E14934-1135,0,14,66,53,148,0,201,0,0,29505,281
700,6,37,1255,E14904-1255,56,0,0,0,0,0,0,0,0,5600,56
700,6,38,1480,Other-1480,1,0,0,0,0,0,0,0,0,100,1
700,7,1,1390,other-1390,0,1,0,0,0,0,0,0,0,105,1
700,7,2,1450,West-Dump,42,0,0,0,0,0,0,0,0,4200,42
700,7,3,1240,E14625-1240,29,0,0,0,0,0,0,0,0,2900,29
700,7,4,1150,E14837-1150,1,8,0,0,0,0,0,0,0,940,9
700,7,5,1135,E14929-1135,10,10,216,0,58,0,58,0,0,30820,294
700,7,6,1495,Other-1495,524,0,0,0,0,0,0,0,0,52400,524
700,7,7,1495,EL816-1495,127,0,0,0,0,0,0,0,0,12700,127
700,7,8,1225,E14853-1225A,75,1,0,0,0,0,0,0,0,7605,76
700,7,9,1150,E14878-1150M,0,94,239,50,161,0,211,0,0,57120,544
700,7,10,1135,E14934-1135,10,6,137,0,403,0,403,0,0,58330,556
700,7,11,1255,E14904-1255,300,0,0,0,0,0,0,0,0,30000,300
700,7,12,1480,Other-1480,1830,0,0,0,0,0,0,0,0,183000,1830
700,7,13,1150,E14877-1150,0,45,1,0,52,0,52,0,0,10290,98
700,7,14,1255,E14944-1255,426,11,0,0,0,0,0,0,0,43755,437
700,7,15,1225,E14855-1225,50,0,0,0,0,0,0,0,0,5000,50
700,7,16,1495,E14925-1495M,457,0,0,0,0,0,0,0,0,45700,457
700,7,17,1135,EL819-1135T,0,0,6,0,11,0,11,0,0,1785,17
700,7,18,1180,E14902-1180A,488,0,0,0,0,0,0,0,0,48800,488
700,7,19,1150,E14887-1150M,1,90,60,429,22,0,451,0,0,63205,602
700,7,20,1495,E14965-1495,388,0,0,0,0,0,0,0,0,38800,388
700,7,21,1135,E14942-1135M,61,36,135,100,90,0,190,0,0,44005,422
700,7,22,1180,E14970-1180T,211,0,1,0,0,0,0,0,0,21205,212
700,7,23,1255,E14938-1255M,713,27,0,8,0,0,8,0,0,74975,748
700,7,24,1255,E14982-1255T,454,0,0,0,0,0,0,0,0,45400,454
700,7,25,1225,E14892-1225A,46,0,0,0,0,0,0,0,0,4600,46
700,7,26,1135,EL824-1135,0,0,26,24,128,0,152,0,0,18690,178
700,7,27,1135,EL820-1135M,0,0,2,0,74,0,74,0,0,7980,76
700,7,28,1255,E14943-1255M,435,0,0,0,0,0,0,0,0,43500,435
700,7,29,1180,E14905-1180,13,18,130,103,430,0,533,0,0,72805,694
700,7,30,1495,EL817-1495,190,1,0,0,0,0,0,0,0,19105,191
